Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,0.054549,-1.503859,0.355896,-334.867096,-19.188334,-40.827293,1.631409,0.371079,2.787550,-334.506897,76.786613,197.365631,3.310745,-0.987286,1.087095,-175.316696,76.539825,-107.501877
2,0,0.054122,-1.505310,0.356143,-334.862000,-19.188879,-40.817955,1.640950,0.427710,2.798434,-334.483856,76.780884,197.359238,3.310684,-0.987207,1.087376,-175.310471,76.536087,-107.504059
3,0,0.054276,-1.504615,0.356347,-334.863678,-19.189629,-40.816338,1.646644,0.462984,2.804821,-334.449921,76.786919,197.352310,3.310737,-0.987297,1.087087,-175.309677,76.527802,-107.505859
4,0,0.054199,-1.504362,0.355687,-334.857544,-19.203156,-40.806568,1.651701,0.495292,2.810109,-334.415344,76.789169,197.347443,3.310900,-0.987228,1.086942,-175.305618,76.525024,-107.505150
5,0,0.054235,-1.504227,0.355932,-334.854889,-19.205894,-40.800011,1.658271,0.539942,2.817015,-334.367126,76.790863,197.349808,3.310645,-0.987130,1.087268,-175.309067,76.517456,-107.504158
6,0,0.054523,-1.503799,0.355426,-334.851959,-19.217085,-40.792610,1.663522,0.575810,2.822087,-334.346405,76.789429,197.346939,3.310788,-0.987155,1.087167,-175.307236,76.511963,-107.503922
7,0,0.054709,-1.503273,0.355250,-334.850220,-19.225637,-40.790085,1.666832,0.600470,2.825569,-334.313416,76.798782,197.344788,3.310889,-0.987138,1.086852,-175.309189,76.503189,-107.505997
8,0,0.054581,-1.504149,0.355008,-334.841187,-19.234652,-40.774529,1.667122,0.602508,2.825657,-334.278381,76.794830,197.348236,3.311115,-0.987113,1.086822,-175.311386,76.494652,-107.501404
9,0,0.054473,-1.503893,0.355251,-334.844330,-19.240969,-40.766087,1.668054,0.610627,2.826810,-334.253235,76.792969,197.350449,3.310791,-0.987362,1.087047,-175.315781,76.485909,-107.499016
10,0,0.054188,-1.504105,0.354593,-334.836700,-19.251419,-40.754021,1.668992,0.618262,2.827815,-334.204895,76.799728,197.351700,3.310747,-0.986995,1.086899,-175.319427,76.481560,-107.499672
11,0,0.054462,-1.503393,0.354622,-334.836243,-19.261763,-40.744862,1.668828,0.616282,2.827574,-334.177246,76.800415,197.355423,3.310866,-0.987066,1.086899,-175.323868,76.471771,-107.491669
12,0,0.053947,-1.504675,0.354577,-334.833038,-19.272741,-40.721439,1.669825,0.622957,2.828374,-334.149902,76.796623,197.352600,3.310779,-0.986934,1.087062,-175.333878,76.460777,-107.491402
13,0,0.054175,-1.504092,0.354582,-334.836853,-19.287626,-40.713470,1.669695,0.620246,2.827763,-334.119385,76.796227,197.346985,3.310733,-0.986833,1.087072,-175.340134,76.454155,-107.492775
14,0,0.054025,-1.503717,0.354438,-334.841492,-19.298279,-40.711174,1.671109,0.632474,2.829574,-334.095886,76.795677,197.360153,3.310766,-0.986683,1.086858,-175.347794,76.446487,-107.489998
15,0,0.054222,-1.504035,0.354783,-334.839813,-19.304976,-40.695793,1.673635,0.650681,2.831547,-334.073303,76.795067,197.350998,3.310675,-0.986705,1.086686,-175.359924,76.438217,-107.488586
16,0,0.054141,-1.505028,0.354588,-334.839386,-19.322355,-40.681374,1.674462,0.656074,2.832115,-334.045074,76.794685,197.349564,3.310796,-0.986628,1.086760,-175.363724,76.433372,-107.490746
17,0,0.053609,-1.505432,0.354686,-334.828552,-19.329288,-40.669632,1.676025,0.667439,2.833257,-334.025421,76.798363,197.347687,3.310934,-0.986517,1.086802,-175.374710,76.422363,-107.488777
18,0,0.053848,-1.504997,0.354709,-334.834656,-19.340618,-40.668568,1.677876,0.680881,2.834599,-334.003296,76.793037,197.343216,3.310697,-0.986481,1.086916,-175.386292,76.412262,-107.490311
19,0,0.053735,-1.504838,0.354780,-334.840942,-19.356995,-40.661747,1.677836,0.679223,2.834447,-333.975769,76.796547,197.344009,3.310690,-0.986398,1.087115,-175.393219,76.406937,-107.495193
20,0,0.053978,-1.504799,0.354621,-334.852142,-19.365810,-40.663597,1.679582,0.691863,2.835558,-333.946350,76.789841,197.335785,3.311125,-0.986203,1.086544,-175.407578,76.395378,-107.492752
21,0,0.053856,-1.505156,0.354502,-334.854614,-19.378164,-40.652699,1.680226,0.695118,2.835758,-333.925446,76.791641,197.332687,3.310802,-0.986309,1.086488,-175.417923,76.390121,-107.495674
22,0,0.054014,-1.504933,0.354407,-334.858948,-19.390059,-40.653023,1.679691,0.689327,2.835091,-333.894989,76.793373,197.326996,3.311204,-0.986012,1.086343,-175.425735,76.381119,-107.501434
23,0,0.053941,-1.504948,0.354360,-334.864929,-19.399590,-40.651981,1.681193,0.701210,2.836215,-333.869171,76.793716,197.326904,3.310926,-0.986148,1.086511,-175.439713,76.369743,-107.503792
24,0,0.054204,-1.504414,0.354200,-334.869812,-19.406864,-40.652699,1.680067,0.689836,2.834910,-333.849182,76.788254,197.325699,3.311116,-0.986159,1.086143,-175.451218,76.362442,-107.509796
25,0,0.053766,-1.504905,0.354406,-334.873352,-19.414516,-40.646595,1.680018,0.685709,2.834259,-333.823425,76.794777,197.315048,3.311303,-0.985927,1.086207,-175.461273,76.354012,-107.510933
26,0,0.054249,-1.504783,0.354412,-334.879822,-19.427498,-40.648632,1.680408,0.688615,2.834565,-333.798065,76.792816,197.317352,3.311146,-0.985897,1.086118,-175.472275,76.346893,-107.517036
27,0,0.054306,-1.504005,0.354184,-334.892365,-19.437056,-40.649105,1.682544,0.706057,2.836298,-333.773346,76.798225,197.312668,3.311277,-0.985776,1.086156,-175.481064,76.337395,-107.521889
28,0,0.053896,-1.504618,0.354728,-334.893280,-19.447802,-40.642757,1.683413,0.710392,2.836516,-333.751312,76.794785,197.309570,3.311376,-0.985758,1.085946,-175.493118,76.327164,-107.524406
29,0,0.054725,-1.503501,0.354398,-334.903564,-19.452871,-40.650394,1.682246,0.697780,2.835140,-333.730652,76.798149,197.306885,3.311512,-0.985666,1.085808,-175.507034,76.318901,-107.528732
