Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-0.952814,2.425328,-0.207331,-481.740814,-74.518822,-64.855537,-1.895435,0.195352,0.656489,-468.407104,109.517082,274.996704,-2.061051,2.182100,0.620091,-311.079468,-114.612755,-326.912842
2,0,-0.952654,2.425450,-0.207585,-481.747406,-74.492416,-64.867584,-1.918515,0.187674,0.660346,-468.381989,109.531952,274.996216,-2.060505,2.181971,0.620770,-311.144836,-114.597672,-326.942261
3,0,-0.952792,2.425710,-0.207483,-481.754303,-74.466225,-64.865807,-1.933303,0.182710,0.662803,-468.360168,109.542801,274.999115,-2.060668,2.182129,0.620908,-311.204559,-114.573174,-326.988281
4,0,-0.952643,2.425719,-0.207257,-481.762909,-74.443985,-64.871483,-1.944423,0.179041,0.664717,-468.335022,109.552925,275.000488,-2.059411,2.182043,0.621777,-311.248138,-114.559357,-327.020996
5,0,-0.952568,2.425968,-0.207577,-481.767792,-74.420807,-64.871338,-1.944106,0.179118,0.664719,-468.310150,109.560936,275.006012,-2.059088,2.182024,0.622888,-311.300049,-114.536331,-327.061401
6,0,-0.952724,2.426084,-0.207192,-481.768951,-74.395882,-64.880432,-1.951973,0.176449,0.666113,-468.279968,109.572693,275.002228,-2.058398,2.182339,0.623229,-311.354095,-114.516403,-327.098938
7,0,-0.952683,2.426020,-0.206942,-481.771759,-74.372757,-64.882652,-1.954118,0.175824,0.666486,-468.252502,109.584389,275.001312,-2.057916,2.182566,0.623800,-311.408386,-114.499352,-327.136780
8,0,-0.952838,2.426414,-0.207197,-481.775848,-74.349136,-64.892960,-1.956064,0.175158,0.666843,-468.224609,109.594711,275.001770,-2.057365,2.183007,0.623792,-311.466827,-114.484291,-327.169647
9,0,-0.952674,2.426469,-0.207216,-481.777069,-74.325356,-64.896690,-1.951792,0.176602,0.666285,-468.194885,109.605186,274.999664,-2.056800,2.183190,0.624056,-311.518433,-114.459152,-327.207520
10,0,-0.952650,2.426709,-0.207287,-481.782135,-74.304840,-64.897911,-1.952671,0.176402,0.666496,-468.165833,109.615517,275.000824,-2.056653,2.183406,0.624421,-311.571838,-114.439995,-327.241638
11,0,-0.952965,2.426881,-0.207274,-481.787781,-74.282639,-64.903656,-1.950387,0.177242,0.666209,-468.141754,109.626740,275.000702,-2.056427,2.183714,0.624535,-311.635620,-114.421211,-327.265289
12,0,-0.953260,2.427029,-0.206771,-481.788910,-74.257263,-64.906219,-1.962258,0.173200,0.668220,-468.114044,109.637772,274.994537,-2.056925,2.183961,0.624451,-311.688110,-114.391968,-327.312531
13,0,-0.953345,2.427109,-0.207084,-481.785156,-74.231880,-64.913567,-1.953741,0.176154,0.666886,-468.087433,109.652122,274.994629,-2.057046,2.184041,0.624259,-311.745453,-114.369942,-327.354706
14,0,-0.953504,2.427446,-0.206843,-481.787781,-74.212082,-64.915390,-1.971238,0.170242,0.669733,-468.059937,109.663834,274.995789,-2.056865,2.184585,0.623952,-311.800171,-114.344139,-327.390747
15,0,-0.953705,2.427322,-0.206370,-481.789032,-74.188713,-64.917984,-1.956209,0.175461,0.667476,-468.036438,109.674141,274.998169,-2.056988,2.184534,0.624062,-311.853424,-114.314491,-327.428711
