Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
325,0,0.094241,-1.534105,0.304403,-379.578552,-69.942139,-41.423683,-0.988434,2.981107,-2.131415,-459.818604,53.767918,171.500778,3.257480,-1.157272,1.281508,-192.566925,18.442167,-56.551262
326,0,0.093146,-1.535840,0.303741,-379.206390,-70.193321,-41.108086,-0.988738,2.980101,-2.131996,-459.737061,53.784039,171.535538,3.253147,-1.157922,1.284199,-191.982224,17.992733,-55.967556
327,0,0.091601,-1.535236,0.305586,-378.775574,-70.432823,-40.744629,-0.981474,3.000753,-2.113565,-459.644592,53.797321,171.584946,3.251517,-1.157210,1.288631,-191.451874,17.512230,-55.363163
328,0,0.090969,-1.536373,0.304115,-378.385406,-70.676910,-40.384628,-0.980139,3.005312,-2.108969,-459.550537,53.830326,171.626434,3.249152,-1.157893,1.290705,-190.950714,17.027039,-54.738258
329,0,0.091136,-1.538314,0.302933,-377.971619,-70.931572,-40.069267,-0.984388,2.992167,-2.120145,-459.458221,53.848110,171.676651,3.247063,-1.158753,1.293606,-190.405380,16.550728,-54.130505
330,0,0.088655,-1.539350,0.302952,-377.601807,-71.191658,-39.704937,-0.976174,3.015686,-2.098994,-459.364166,53.864159,171.721451,3.242588,-1.159057,1.297580,-189.813797,16.080589,-53.556854
331,0,0.087426,-1.537623,0.304560,-377.154907,-71.430595,-39.331974,-0.986607,2.985242,-2.125496,-459.277618,53.890091,171.767822,3.241198,-1.158537,1.301020,-189.274460,15.580220,-52.930470
332,0,0.086859,-1.540323,0.302352,-376.753906,-71.674629,-38.996140,-0.989498,2.975408,-2.133584,-459.170074,53.914268,171.807846,3.240053,-1.158586,1.302971,-188.770859,15.077537,-52.303371
333,0,0.086665,-1.541729,0.301708,-376.336029,-71.935448,-38.665199,-0.990398,2.973038,-2.135384,-459.084198,53.937748,171.848526,3.237488,-1.158861,1.303622,-188.208450,14.590174,-51.687962
334,0,0.084354,-1.542442,0.301966,-375.947083,-72.185776,-38.276882,-0.988560,2.977963,-2.130959,-458.982513,53.952869,171.899414,3.233803,-1.159891,1.309249,-187.612030,14.103307,-51.115379
335,0,0.084452,-1.541658,0.301843,-375.509003,-72.428078,-37.905952,-0.988545,2.978274,-2.130361,-458.893677,53.987255,171.952194,3.229383,-1.160102,1.315473,-187.055130,13.610502,-50.505241
336,0,0.082863,-1.544331,0.300129,-375.106079,-72.682014,-37.574272,-0.979173,3.005896,-2.105731,-458.815613,54.007984,172.009338,3.228361,-1.160893,1.315755,-186.533066,13.100591,-49.875492
337,0,0.081831,-1.543437,0.302104,-374.672791,-72.928787,-37.204033,-0.981709,2.997553,-2.112766,-458.737823,54.030804,172.062469,3.226414,-1.160664,1.315825,-185.972412,12.589713,-49.249569
