Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-1.075527,1.497065,-0.464018,-313.926666,-136.930679,51.451538,3.513259,0.013368,-1.175398,-472.203491,131.975876,277.194275,2.972834,-2.408130,-0.191461,-5.224709,-123.130569,-23.664976
2,0,-1.077227,1.494143,-0.464464,-313.187805,-136.858154,52.200237,3.563074,-0.025603,-1.207267,-472.189850,132.099625,277.296600,2.976796,-2.405813,-0.187808,-4.319691,-122.666237,-22.197807
3,0,-1.078770,1.491027,-0.465389,-312.454895,-136.788834,52.960617,3.604998,-0.060458,-1.235198,-472.192108,132.219574,277.393982,2.979480,-2.403209,-0.184180,-3.424129,-122.200500,-20.727074
4,0,-1.080031,1.488166,-0.466418,-311.700684,-136.712662,53.713432,3.646542,-0.096815,-1.263246,-472.162231,132.332886,277.496979,2.982513,-2.400081,-0.178490,-2.567097,-121.731010,-19.268665
5,0,-1.080756,1.485186,-0.467820,-310.981354,-136.632690,54.471741,3.686807,-0.134812,-1.291461,-472.152557,132.435730,277.587921,2.985336,-2.398348,-0.175399,-1.693037,-121.259613,-17.801338
6,0,-1.082573,1.482103,-0.468550,-310.236877,-136.551926,55.227989,3.725508,-0.174241,-1.319931,-472.146637,132.546661,277.671600,2.989400,-2.395724,-0.171554,-0.803099,-120.778885,-16.336100
7,0,-1.084095,1.479149,-0.469221,-309.501404,-136.470047,55.982670,3.757118,-0.207009,-1.343019,-472.140625,132.688995,277.779602,2.993093,-2.393053,-0.166452,0.068404,-120.294327,-14.876827
8,0,-1.084703,1.475523,-0.470542,-308.766968,-136.384888,56.735596,3.789594,-0.242563,-1.368462,-472.139771,132.784943,277.880798,2.996162,-2.389967,-0.164042,0.949244,-119.804146,-13.412192
9,0,-1.085028,1.471900,-0.471503,-308.008362,-136.288589,57.485847,3.822065,-0.279466,-1.394499,-472.104950,132.902878,277.971680,2.998738,-2.387013,-0.159251,1.789274,-119.321411,-11.943423
10,0,-1.086290,1.468908,-0.472176,-307.279297,-136.195068,58.256763,3.851315,-0.315170,-1.418996,-472.077057,133.022491,278.073151,3.002382,-2.384725,-0.154147,2.658740,-118.827995,-10.491571
11,0,-1.087308,1.465638,-0.473038,-306.549347,-136.096527,59.024799,3.866440,-0.334235,-1.431708,-472.055084,133.147827,278.158051,3.005615,-2.381977,-0.151385,3.524824,-118.334770,-9.036124
12,0,-1.088646,1.462570,-0.474204,-305.831726,-136.013153,59.798080,3.880318,-0.352006,-1.443636,-472.029510,133.260330,278.250000,3.008839,-2.378746,-0.146170,4.373798,-117.830894,-7.574637
13,0,-1.089588,1.459423,-0.474536,-305.087158,-135.908981,60.546059,3.892777,-0.368996,-1.454923,-472.018646,133.379395,278.340454,3.011767,-2.376878,-0.142219,5.221734,-117.332634,-6.112751
14,0,-1.091271,1.456703,-0.475096,-304.351868,-135.801849,61.309387,3.905375,-0.384916,-1.465929,-472.018311,133.501984,278.456787,3.013982,-2.374369,-0.139178,6.063372,-116.826057,-4.651077
15,0,-1.092880,1.452928,-0.476461,-303.635590,-135.706406,62.087681,3.919075,-0.403150,-1.477984,-472.007294,133.617188,278.558044,3.018041,-2.371217,-0.133068,6.897360,-116.322556,-3.211817
16,0,-1.093424,1.449863,-0.477793,-302.899780,-135.601547,62.844322,3.931512,-0.420803,-1.489685,-471.992462,133.739792,278.638977,3.021269,-2.369051,-0.130324,7.754185,-115.804726,-1.762779
17,0,-1.094915,1.447277,-0.478029,-302.152100,-135.488663,63.601009,3.956587,-0.459210,-1.514529,-471.958069,133.866348,278.721222,3.024205,-2.365904,-0.126504,8.559453,-115.295967,-0.296933
18,0,-1.096704,1.444584,-0.478824,-301.450378,-135.386566,64.391861,3.945736,-0.439570,-1.502547,-471.915680,133.986984,278.822876,3.027048,-2.363703,-0.121417,9.405818,-114.768257,1.160374
19,0,-1.097957,1.441799,-0.479992,-300.745422,-135.277298,65.164299,3.937662,-0.425440,-1.494432,-471.899109,134.113495,278.911438,3.030341,-2.361011,-0.117610,10.248530,-114.240837,2.618939
20,0,-1.099347,1.438697,-0.481274,-300.008972,-135.161819,65.935829,3.953978,-0.448154,-1.510170,-471.895355,134.233643,279.032410,3.033711,-2.357149,-0.113674,11.036522,-113.724533,4.086477
21,0,-1.100892,1.435714,-0.481538,-299.271912,-135.045135,66.708939,3.963784,-0.463186,-1.519885,-471.876038,134.364914,279.134766,3.036193,-2.355476,-0.109726,11.885196,-113.178787,5.527976
22,0,-1.101897,1.432370,-0.482929,-298.564545,-134.926895,67.482933,3.980160,-0.490824,-1.537095,-471.879303,134.495117,279.214386,3.039299,-2.352019,-0.103956,12.678356,-112.649643,6.979974
23,0,-1.103919,1.428754,-0.484185,-297.866547,-134.812561,68.273468,3.968155,-0.467643,-1.522552,-471.842926,134.616638,279.314789,3.042246,-2.348846,-0.101005,13.494897,-112.111305,8.432591
24,0,-1.105101,1.426432,-0.484924,-297.130615,-134.686417,69.045685,3.949761,-0.434442,-1.502300,-471.808014,134.747681,279.419739,3.044836,-2.346023,-0.098056,14.299515,-111.571899,9.900340
25,0,-1.106604,1.423260,-0.485536,-296.420563,-134.564209,69.828865,3.969747,-0.463897,-1.522379,-471.802155,134.889603,279.533356,3.059001,-2.334439,-0.094855,15.043710,-111.175262,11.256884
26,0,-1.107971,1.419836,-0.487096,-295.728058,-134.433884,70.615234,3.965406,-0.454721,-1.517612,-471.784332,135.011673,279.622589,3.062640,-2.331923,-0.091876,15.882707,-110.621536,12.686624
27,0,-1.108704,1.416867,-0.488097,-294.990234,-134.300400,71.378899,3.966824,-0.456476,-1.519406,-471.759735,135.136795,279.702026,3.065599,-2.327999,-0.087562,16.653833,-110.074913,14.142230
28,0,-1.109936,1.414462,-0.489040,-294.262604,-134.167847,72.145668,3.971716,-0.463414,-1.523114,-471.732727,135.241806,279.807312,3.068745,-2.324926,-0.083502,17.467064,-109.520927,15.582244
29,0,-1.111337,1.411259,-0.490402,-293.605499,-134.043518,72.939034,3.979808,-0.475320,-1.531047,-471.707672,135.378464,279.920532,3.071951,-2.321751,-0.079016,18.252617,-108.965347,17.035118
30,0,-1.112630,1.408662,-0.490957,-292.893860,-133.906586,73.712082,3.997485,-0.503434,-1.548815,-471.698669,135.516479,280.044098,3.074701,-2.318633,-0.076053,19.042030,-108.399185,18.484425
31,0,-1.113807,1.405929,-0.491842,-292.160461,-133.760773,74.475471,3.984232,-0.477738,-1.533839,-471.690887,135.630539,280.149292,3.078247,-2.315266,-0.070928,19.837511,-107.827988,19.930111
32,0,-1.114887,1.402568,-0.493570,-291.489380,-133.627319,75.263206,3.961870,-0.439487,-1.511114,-471.694977,135.763779,280.221863,3.081038,-2.312269,-0.067644,20.623753,-107.256973,21.367224
33,0,-1.116551,1.399618,-0.494758,-290.788727,-133.486115,76.039948,3.964728,-0.442454,-1.512818,-471.658661,135.887955,280.308441,3.083927,-2.308034,-0.063235,21.392340,-106.689331,22.811556
