Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,2.479112,-2.414917,-0.251948,-223.101700,185.158768,-52.937813,1.081567,-1.948744,2.391889,-286.491211,274.699585,255.937637,0.658737,3.950062,0.215046,61.214436,377.440063,-185.407318
2,0,2.478893,-2.414785,-0.252039,-223.090088,185.147034,-52.928959,1.081764,-1.922915,2.426658,-286.493866,274.685486,255.947266,0.658396,3.949968,0.215111,61.215725,377.435028,-185.400940
3,0,2.478846,-2.414885,-0.251894,-223.080872,185.141434,-52.914539,1.082127,-1.907425,2.447019,-286.490753,274.689056,255.958832,0.658134,3.950193,0.214531,61.215195,377.430176,-185.392593
4,0,2.478699,-2.414953,-0.251642,-223.071091,185.126938,-52.900883,1.082393,-1.884103,2.476777,-286.486145,274.692200,255.960083,0.657574,3.950564,0.214125,61.214348,377.425537,-185.382278
5,0,2.478669,-2.415168,-0.251750,-223.063812,185.114883,-52.894917,1.082189,-1.875432,2.487882,-286.477661,274.699738,255.975540,0.657556,3.950704,0.214188,61.223366,377.422119,-185.367935
6,0,2.478556,-2.415299,-0.251351,-223.051941,185.106888,-52.883385,1.082330,-1.866780,2.498703,-286.479706,274.695374,255.982101,0.657213,3.950948,0.214214,61.232338,377.411469,-185.354141
7,0,2.478543,-2.415546,-0.251274,-223.040543,185.093536,-52.869217,1.082154,-1.854213,2.514503,-286.469025,274.697266,255.992020,0.656967,3.951434,0.214317,61.232738,377.404602,-185.337006
8,0,2.478503,-2.415685,-0.251398,-223.029358,185.081070,-52.860893,1.082217,-1.841148,2.530329,-286.461639,274.696411,255.993820,0.656333,3.951608,0.213998,61.239365,377.396606,-185.319260
9,0,2.478310,-2.415781,-0.250893,-223.022079,185.065887,-52.848785,1.082188,-1.836039,2.536726,-286.458191,274.699860,256.000732,0.655507,3.952223,0.214219,61.242321,377.385986,-185.303772
10,0,2.478308,-2.415978,-0.250998,-223.009872,185.053619,-52.840622,1.082211,-1.834305,2.538870,-286.447449,274.698944,256.011749,0.655077,3.952335,0.214040,61.245041,377.376221,-185.288498
