Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-1.952641,1.993006,0.208991,-228.453293,188.193039,-70.176628,-0.809752,2.064560,-1.984466,-281.253693,261.339203,238.680267,-0.145954,-1.799440,0.229354,73.474152,395.315247,-205.230682
2,0,-1.952301,1.993226,0.208728,-228.442932,188.179230,-70.134857,-0.809668,2.065652,-1.983792,-281.247009,261.350250,238.701538,-0.146103,-1.799710,0.229111,73.476654,395.318268,-205.230637
3,0,-1.951924,1.993565,0.208806,-228.427551,188.158356,-70.091743,-0.807925,2.057306,-1.989801,-281.244354,261.358673,238.726410,-0.146069,-1.799543,0.228930,73.476311,395.323090,-205.223221
4,0,-1.951824,1.993760,0.208261,-228.413025,188.143417,-70.048615,-0.808613,2.062535,-1.986196,-281.242401,261.372162,238.746765,-0.146220,-1.799598,0.228845,73.470718,395.318939,-205.216248
5,0,-1.951617,1.994271,0.207949,-228.398758,188.124680,-70.007965,-0.811188,2.077718,-1.975388,-281.238617,261.379120,238.771545,-0.146217,-1.799724,0.228673,73.470665,395.324097,-205.212982
6,0,-1.951469,1.994538,0.207745,-228.386871,188.105728,-69.965332,-0.808635,2.065648,-1.984122,-281.237671,261.389099,238.796158,-0.146168,-1.799640,0.228779,73.466286,395.321655,-205.210770
7,0,-1.951081,1.994889,0.207657,-228.372391,188.090347,-69.924469,-0.809965,2.073911,-1.978368,-281.236664,261.398376,238.821594,-0.146243,-1.799794,0.229154,73.457909,395.327881,-205.212097
8,0,-1.950990,1.995206,0.207433,-228.359848,188.073792,-69.879692,-0.812834,2.091030,-1.966077,-281.238800,261.407715,238.844894,-0.146193,-1.799912,0.229091,73.459435,395.334351,-205.209229
9,0,-1.950598,1.995606,0.207341,-228.341949,188.048920,-69.831627,-0.812267,2.089206,-1.967503,-281.237061,261.415466,238.869354,-0.146165,-1.800141,0.228643,73.461906,395.335510,-205.199905
10,0,-1.950294,1.996011,0.207131,-228.324707,188.027206,-69.785873,-0.812743,2.093283,-1.964629,-281.240479,261.420441,238.895096,-0.146222,-1.800122,0.228705,73.459145,395.336151,-205.196075
11,0,-1.950029,1.996208,0.207056,-228.307236,188.005371,-69.736153,-0.814332,2.102635,-1.957860,-281.242493,261.426849,238.922211,-0.146106,-1.800025,0.228613,73.451721,395.345581,-205.197403
12,0,-1.949665,1.996494,0.206965,-228.281815,187.985596,-69.691734,-0.814440,2.104393,-1.956659,-281.248047,261.432098,238.945984,-0.146286,-1.800328,0.228521,73.455750,395.342438,-205.187546
13,0,-1.949337,1.996747,0.206855,-228.258041,187.962250,-69.636940,-0.816479,2.116517,-1.947718,-281.255554,261.438049,238.978958,-0.146266,-1.800375,0.228573,73.451996,395.346832,-205.180084
14,0,-1.949165,1.997006,0.206667,-228.235199,187.942703,-69.588799,-0.819140,2.132148,-1.936103,-281.258850,261.445587,239.008179,-0.146381,-1.800441,0.228124,73.459412,395.352356,-205.174149
15,0,-1.948939,1.996904,0.206169,-228.208740,187.923019,-69.537682,-0.818834,2.131592,-1.936551,-281.265564,261.448883,239.040024,-0.146373,-1.800753,0.228795,73.445755,395.357117,-205.174088
16,0,-1.949142,1.996791,0.206298,-228.187225,187.899384,-69.480553,-0.821701,2.148506,-1.923762,-281.264740,261.457794,239.065491,-0.146399,-1.800731,0.228768,73.449097,395.359863,-205.172424
17,0,-1.949014,1.996706,0.206372,-228.164230,187.879898,-69.428993,-0.824548,2.165521,-1.910699,-281.271820,261.460968,239.103180,-0.146277,-1.800880,0.228859,73.448471,395.371185,-205.170425
18,0,-1.948895,1.996768,0.206168,-228.138992,187.861450,-69.372345,-0.822183,2.153523,-1.920013,-281.275818,261.466461,239.130066,-0.146328,-1.801029,0.228796,73.449791,395.372040,-205.170547
19,0,-1.948727,1.996663,0.206187,-228.117767,187.836716,-69.313850,-0.817370,2.128484,-1.939040,-281.274597,261.475525,239.161163,-0.146135,-1.800896,0.229861,73.437202,395.385162,-205.176254
20,0,-1.948643,1.996652,0.205866,-228.092361,187.816788,-69.259712,-0.814657,2.115330,-1.948920,-281.278351,261.487640,239.189667,-0.146160,-1.800614,0.229701,73.441956,395.387634,-205.171967
21,0,-1.948558,1.996594,0.205793,-228.071365,187.792465,-69.201401,-0.814874,2.117640,-1.947212,-281.278229,261.494202,239.221359,-0.146347,-1.800904,0.229071,73.453705,395.396484,-205.163483
22,0,-1.948485,1.996514,0.205345,-228.053467,187.764725,-69.138657,-0.813114,2.109544,-1.953287,-281.279663,261.500214,239.252869,-0.146310,-1.800790,0.229744,73.443886,395.405151,-205.170364
23,0,-1.948266,1.996605,0.204899,-228.025269,187.745377,-69.085495,-0.812209,2.105887,-1.956048,-281.280365,261.507874,239.285782,-0.146223,-1.800760,0.229722,73.449142,395.413452,-205.169556
24,0,-1.948186,1.996443,0.204620,-227.997803,187.717453,-69.029968,-0.811360,2.102373,-1.958666,-281.283905,261.515533,239.313858,-0.146391,-1.800830,0.229462,73.457771,395.420288,-205.167145
25,0,-1.947913,1.996541,0.203890,-227.964722,187.695969,-68.972878,-0.811621,2.105244,-1.956630,-281.278290,261.522278,239.342773,-0.146474,-1.800786,0.229504,73.460953,395.429047,-205.169296
26,0,-1.947630,1.996642,0.203760,-227.929306,187.673065,-68.917183,-0.807869,2.086355,-1.970483,-281.274933,261.529388,239.369995,-0.146165,-1.800851,0.230334,73.457031,395.439178,-205.175720
27,0,-1.947733,1.996846,0.203184,-227.897324,187.646240,-68.862183,-0.808972,2.093431,-1.965334,-281.278137,261.534119,239.402451,-0.146618,-1.800675,0.229347,73.473122,395.444458,-205.171738
28,0,-1.947790,1.996815,0.202975,-227.857422,187.621750,-68.801445,-0.808600,2.093059,-1.965602,-281.270294,261.543762,239.432938,-0.146416,-1.800547,0.229543,73.477211,395.450714,-205.179489
29,0,-1.947511,1.997227,0.202599,-227.813538,187.600143,-68.743866,-0.806655,2.084337,-1.971912,-281.267487,261.548950,239.460373,-0.146382,-1.800514,0.229383,73.487564,395.463562,-205.183350
30,0,-1.947600,1.997511,0.202245,-227.772034,187.576416,-68.691895,-0.802845,2.065591,-1.985359,-281.257660,261.558258,239.488327,-0.146511,-1.800264,0.229582,73.494514,395.469391,-205.189362
