Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,0.342980,3.558865,-1.091686,-261.768555,-31.890400,162.086655,-0.815292,2.582814,-2.545003,-408.266174,124.666168,221.671066,2.963177,-0.238085,2.338222,-109.431389,86.055893,243.344315
2,0,0.346650,3.555095,-1.091367,-261.036377,-31.698160,163.395828,-0.806436,2.607968,-2.527478,-407.870239,125.023842,222.036285,2.958624,-0.236084,2.343833,-108.781532,86.196541,245.105927
3,0,0.348036,3.551569,-1.091428,-260.306610,-31.493891,164.753052,-0.742952,2.801415,-2.382813,-407.425537,125.365349,222.402039,2.952789,-0.232784,2.351361,-108.140236,86.346428,246.844009
4,0,0.352286,3.545791,-1.092487,-259.581390,-31.297411,166.087845,-0.672062,2.992474,-2.212810,-407.020111,125.729797,222.787277,2.949517,-0.231776,2.352175,-107.523071,86.497345,248.586197
5,0,0.355580,3.542171,-1.090706,-258.828247,-31.090311,167.428268,-0.728586,2.829594,-2.357138,-406.635406,126.114502,223.164764,2.942698,-0.228865,2.361365,-106.869392,86.655151,250.326599
6,0,0.358802,3.538407,-1.091913,-258.100128,-30.885618,168.753860,-0.669805,2.984693,-2.218563,-406.158966,126.455170,223.506714,2.940150,-0.226302,2.364794,-106.230240,86.799583,252.067657
7,0,0.360157,3.533857,-1.089718,-257.384796,-30.678654,170.100922,-0.556696,3.244310,-1.934808,-405.759613,126.818047,223.882935,2.936121,-0.225403,2.366967,-105.643547,86.949921,253.832489
8,0,0.364363,3.529037,-1.089595,-256.651154,-30.455374,171.437149,-0.660769,2.991895,-2.208537,-405.337067,127.195831,224.264984,2.932105,-0.222633,2.372338,-104.992233,87.105522,255.553894
9,0,0.367910,3.525768,-1.089408,-255.911850,-30.239141,172.753159,-0.620972,3.086162,-2.112489,-404.929535,127.558929,224.605301,2.924877,-0.221441,2.378790,-104.344292,87.274780,257.283356
10,0,0.369647,3.522072,-1.089004,-255.204849,-30.013603,174.103806,-0.593655,3.143111,-2.048540,-404.461243,127.938942,224.988403,2.919251,-0.219147,2.384618,-103.720833,87.429932,259.013397
11,0,0.373313,3.516425,-1.088606,-254.486053,-29.786758,175.434402,-0.680572,2.915584,-2.275987,-404.040955,128.310837,225.361923,2.918367,-0.216389,2.385654,-103.085800,87.589790,260.746155
12,0,0.375938,3.513928,-1.086784,-253.752853,-29.550100,176.757462,-0.612817,3.086038,-2.107294,-403.659760,128.689240,225.727448,2.912384,-0.214549,2.391414,-102.461586,87.766273,262.473755
13,0,0.380931,3.508882,-1.088712,-253.030746,-29.324259,178.093033,-0.507441,3.308159,-1.840750,-403.191895,129.045181,226.078583,2.904091,-0.214129,2.399875,-101.796593,87.940041,264.192139
14,0,0.383412,3.505169,-1.086027,-252.330750,-29.083853,179.437729,-0.587887,3.131881,-2.053799,-402.795593,129.437134,226.453491,2.902385,-0.210595,2.401537,-101.171890,88.104813,265.909332
15,0,0.386321,3.500629,-1.085437,-251.595230,-28.840799,180.744064,-0.550718,3.209741,-1.961858,-402.382050,129.805481,226.807602,2.896133,-0.209989,2.406773,-100.535019,88.289314,267.626740
16,0,0.390862,3.497369,-1.086109,-250.869995,-28.589209,182.086395,-0.489719,3.326606,-1.808148,-401.916840,130.175110,227.157684,2.889690,-0.207710,2.413562,-99.882118,88.460617,269.334869
17,0,0.394039,3.493187,-1.084824,-250.165253,-28.342039,183.414032,-0.498181,3.306183,-1.833088,-401.535980,130.560883,227.558670,2.887786,-0.205825,2.414844,-99.258842,88.639442,271.049194
18,0,0.396980,3.488865,-1.083878,-249.436615,-28.081610,184.734985,-0.489205,3.316741,-1.816651,-401.073669,130.906403,227.881134,2.880197,-0.205013,2.419554,-98.625526,88.815948,272.750427
19,0,0.400672,3.485275,-1.083831,-248.723679,-27.817892,186.069305,-0.514663,3.260584,-1.888821,-400.655853,131.294388,228.266907,2.873593,-0.202013,2.427910,-97.957977,89.000351,274.443634
20,0,0.404647,3.481157,-1.083380,-247.992004,-27.547354,187.380585,-0.472943,3.339369,-1.778914,-400.241241,131.669357,228.619049,2.868769,-0.201694,2.430371,-97.317764,89.193108,276.144318
21,0,0.406709,3.477740,-1.081982,-247.293457,-27.276731,188.734131,-0.436738,3.399990,-1.687939,-399.844238,132.024902,228.978500,2.865774,-0.199726,2.432743,-96.705688,89.374565,277.862976
22,0,0.412501,3.472641,-1.082754,-246.593353,-27.006657,190.049133,-0.396960,3.463811,-1.581407,-399.426178,132.394241,229.335938,2.859411,-0.198159,2.439199,-96.036629,89.570648,279.547424
23,0,0.414894,3.470074,-1.081810,-245.860428,-26.721951,191.372879,-0.294299,3.610190,-1.296929,-398.994995,132.778412,229.696594,2.851198,-0.197189,2.445069,-95.371407,89.777664,281.235565
24,0,0.418374,3.465376,-1.081458,-245.158020,-26.436354,192.708069,-0.364859,3.507358,-1.498351,-398.566223,133.150909,230.034683,2.847957,-0.195085,2.447751,-94.759232,89.959038,282.934998
25,0,0.423605,3.460977,-1.080577,-244.460373,-26.149290,194.041351,-0.370078,3.495270,-1.516642,-398.181030,133.518112,230.399689,2.840215,-0.194066,2.454369,-94.082100,90.159805,284.614380
26,0,0.426925,3.458261,-1.081158,-243.746017,-25.857121,195.372070,-0.363927,3.500761,-1.502630,-397.761658,133.895462,230.776306,2.834170,-0.193286,2.457540,-93.447006,90.362190,286.305267
