Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-1.892792,1.977794,0.026040,-163.158737,176.182632,-26.665762,0.879774,-2.433502,2.629413,-276.058105,265.500336,272.338043,1.900425,3.559530,-0.263809,142.874115,289.492493,-190.945831
2,0,-1.892502,1.977874,0.026025,-163.156311,176.193878,-26.637419,0.880015,-2.433960,2.628823,-276.081818,265.527100,272.355347,1.900330,3.559646,-0.263333,142.868546,289.501099,-190.939133
3,0,-1.892317,1.977712,0.025837,-163.159836,176.202682,-26.605108,0.881411,-2.437184,2.624250,-276.104340,265.552734,272.370117,1.899818,3.559778,-0.263940,142.864044,289.507294,-190.933411
4,0,-1.892117,1.977718,0.025602,-163.161072,176.210617,-26.572460,0.886452,-2.449243,2.606638,-276.128418,265.578491,272.386261,1.900234,3.559452,-0.264832,142.853653,289.510834,-190.933380
5,0,-1.892490,1.977649,0.025356,-163.161697,176.217392,-26.541439,0.885660,-2.447138,2.609822,-276.154449,265.606934,272.401794,1.899668,3.559639,-0.264768,142.853088,289.517609,-190.926544
6,0,-1.892128,1.977583,0.025459,-163.156235,176.229828,-26.516859,0.882226,-2.439472,2.621459,-276.175049,265.630493,272.414825,1.899579,3.559643,-0.265323,142.845657,289.521454,-190.925995
7,0,-1.892283,1.977372,0.025514,-163.162933,176.234802,-26.486801,0.888083,-2.453044,2.601575,-276.196808,265.660553,272.426758,1.899508,3.559749,-0.264728,142.840530,289.528595,-190.921051
8,0,-1.891936,1.977416,0.025595,-163.163345,176.245911,-26.458944,0.883793,-2.443128,2.616489,-276.216858,265.687073,272.444000,1.899205,3.559674,-0.265236,142.835602,289.530823,-190.919952
9,0,-1.892021,1.977450,0.025267,-163.162750,176.253113,-26.430168,0.888930,-2.455264,2.598734,-276.242462,265.714478,272.461578,1.899062,3.559881,-0.265905,142.832367,289.536560,-190.916306
10,0,-1.891756,1.977498,0.025305,-163.162933,176.261337,-26.403154,0.889310,-2.456034,2.597721,-276.275757,265.740967,272.481110,1.898861,3.559987,-0.265834,142.825455,289.540741,-190.915802
11,0,-1.891440,1.977686,0.025166,-163.165009,176.270050,-26.371262,0.883507,-2.442291,2.618275,-276.303406,265.768433,272.504028,1.898726,3.560021,-0.265100,142.822113,289.542969,-190.911484
12,0,-1.891534,1.977777,0.025101,-163.164886,176.278656,-26.342049,0.885760,-2.447316,2.610935,-276.329468,265.791138,272.522888,1.898727,3.560160,-0.265711,142.814148,289.544922,-190.906799
