Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,-1.669068,2.034011,-0.023412,-170.594757,185.603424,-39.021866,-0.342116,0.412115,0.712170,-274.584442,280.900726,249.569260,-0.892753,-1.772501,-0.065673,165.234375,260.931885,-211.328415
2,0,-1.668703,2.033665,-0.023669,-170.543289,185.475098,-38.913395,-0.361722,0.405226,0.715691,-274.608734,280.890930,249.602966,-0.892268,-1.772265,-0.064982,165.236053,260.945831,-211.327560
3,0,-1.668765,2.034169,-0.024228,-170.494843,185.343857,-38.795864,-0.380374,0.398714,0.719019,-274.625122,280.879242,249.628754,-0.892115,-1.771699,-0.064405,165.231155,260.951385,-211.339233
4,0,-1.668796,2.033862,-0.024730,-170.439255,185.212830,-38.688622,-0.398241,0.392384,0.722133,-274.653870,280.870636,249.656616,-0.891737,-1.771606,-0.064164,165.235947,260.961456,-211.337784
5,0,-1.668651,2.033661,-0.024823,-170.388077,185.078018,-38.576012,-0.414765,0.386624,0.724934,-274.679596,280.860931,249.694519,-0.891422,-1.771032,-0.063790,165.237000,260.970306,-211.344604
6,0,-1.668270,2.033047,-0.024469,-170.329742,184.947815,-38.466969,-0.430147,0.381226,0.727604,-274.701416,280.849457,249.725891,-0.891221,-1.770493,-0.062668,165.233246,260.978210,-211.354355
7,0,-1.668328,2.032533,-0.024648,-170.269119,184.823639,-38.355476,-0.438850,0.378136,0.728886,-274.723999,280.844635,249.760910,-0.890679,-1.770173,-0.063266,165.249176,260.991364,-211.342728
8,0,-1.668504,2.032225,-0.024718,-170.211227,184.694061,-38.242039,-0.454261,0.372583,0.731394,-274.689667,281.189240,249.884186,-0.890165,-1.769675,-0.062925,165.249542,261.002655,-211.347794
9,0,-1.668563,2.031801,-0.024846,-170.151703,184.562271,-38.126030,-0.469951,0.366904,0.733973,-274.715088,281.173828,249.925064,-0.889975,-1.769276,-0.063034,165.263702,261.010010,-211.340912
10,0,-1.668387,2.031535,-0.024964,-170.090958,184.440201,-38.014832,-0.485632,0.361224,0.736439,-274.737854,281.165039,249.970154,-0.889656,-1.768671,-0.062157,165.265137,261.020142,-211.338913
11,0,-1.668393,2.031059,-0.025413,-170.024490,184.320190,-37.902748,-0.501476,0.355493,0.738882,-274.764221,281.156769,250.012543,-0.888966,-1.768574,-0.061724,165.269150,261.033997,-211.335815
12,0,-1.668812,2.030770,-0.026586,-169.964890,184.195297,-37.780945,-0.517754,0.349514,0.741357,-274.787659,281.148560,250.054840,-0.888518,-1.767823,-0.061286,165.269287,261.044189,-211.336899
13,0,-1.669558,2.030612,-0.027118,-169.910004,184.064728,-37.644310,-0.239006,0.446043,0.689334,-274.846527,280.764465,250.049866,-0.888438,-1.767676,-0.062033,165.288788,261.055328,-211.319672
14,0,-1.670053,2.030183,-0.027763,-169.856598,183.936111,-37.514645,-0.258881,0.439460,0.693087,-274.872437,280.756775,250.089020,-0.887846,-1.766885,-0.060938,165.281326,261.068542,-211.324112
15,0,-1.670451,2.029997,-0.028041,-169.804504,183.808380,-37.370754,-0.278323,0.432747,0.696622,-274.906525,280.748230,250.132233,-0.887697,-1.767347,-0.061520,165.306229,261.077240,-211.301743
16,0,-1.670812,2.029670,-0.027779,-169.746094,183.685318,-37.231262,-0.296844,0.426448,0.699909,-274.937469,280.738190,250.181107,-0.886948,-1.766647,-0.060958,165.300964,261.097046,-211.298035
17,0,-1.671743,2.029452,-0.027779,-169.676849,183.561829,-37.094372,-0.314488,0.420318,0.702880,-274.971161,280.731659,250.228638,-0.886630,-1.766495,-0.060841,165.311951,261.108032,-211.290421
18,0,-1.672177,2.029310,-0.028675,-169.612457,183.440002,-36.958092,-0.331794,0.414321,0.705824,-275.004425,280.726990,250.272095,-0.886369,-1.766162,-0.059923,165.317490,261.121796,-211.283157
19,0,-1.672712,2.029225,-0.029137,-169.549316,183.319229,-36.821514,-0.346424,0.409154,0.708162,-275.027130,280.725006,250.323532,-0.885931,-1.766093,-0.060125,165.330292,261.142944,-211.260208
20,0,-1.673488,2.028720,-0.029797,-169.485764,183.201675,-36.695610,-0.355116,0.405890,0.709384,-275.048920,280.724518,250.376617,-0.885387,-1.765770,-0.058861,165.328415,261.167236,-211.256210
21,0,-1.674416,2.028119,-0.030310,-169.418579,183.076782,-36.560059,-0.363439,0.402837,0.710722,-275.078003,280.717010,250.424088,-0.885321,-1.766159,-0.059421,165.353836,261.187531,-211.231857
22,0,-1.675395,2.027480,-0.030852,-169.351517,182.958694,-36.424549,-0.371666,0.399791,0.711870,-275.103363,280.714081,250.482254,-0.885003,-1.765639,-0.058317,165.354126,261.208374,-211.222992
23,0,-1.676653,2.026824,-0.031574,-169.300842,182.839355,-36.280556,-0.382636,0.395930,0.713682,-275.128723,280.700592,250.530304,-0.884716,-1.765496,-0.057842,165.357437,261.230255,-211.203781
